conversation_id,audio_path,audio_id,emotion,type,human_type,video_url
0,audio_client/0_client_audio_0.wav,0,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_2.wav,1,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_3.wav,2,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_4.wav,3,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_5.wav,4,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_6.wav,5,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_7.wav,6,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_8.wav,7,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_9.wav,8,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_10.wav,9,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_11.wav,10,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_12.wav,11,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_13.wav,12,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_14.wav,13,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_15.wav,14,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_16.wav,15,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_17.wav,16,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_18.wav,17,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_19.wav,18,sad,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_20.wav,19,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_21.wav,20,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_22.wav,21,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_23.wav,22,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_24.wav,23,happy,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
0,audio_client/0_client_audio_25.wav,24,neutral,interview,client,https://www.youtube.com/watch?v=PaSKcfTmFEk
1,audio_client/2_client_audio_0.wav,0,sad,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_1.wav,1,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_2.wav,2,sad,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_3.wav,3,happy,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_4.wav,4,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_5.wav,5,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_6.wav,6,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_7.wav,7,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_8.wav,8,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_9.wav,9,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_10.wav,10,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_11.wav,11,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_12.wav,12,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_13.wav,13,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_14.wav,14,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_15.wav,15,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
1,audio_client/2_client_audio_16.wav,16,neutral,interview,client,https://www.youtube.com/watch?v=dm-rJJPCuTE
2,audio_client/8_client_audio_0.wav,0,sad,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_1.wav,1,neutral,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_2.wav,2,neutral,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_3.wav,3,neutral,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_4.wav,4,neutral,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_5.wav,5,neutral,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_6.wav,6,neutral,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_8.wav,7,sad,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_9.wav,8,neutral,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_10.wav,9,neutral,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_11.wav,10,sad,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_12.wav,11,neutral,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
2,audio_client/8_client_audio_13.wav,12,happy,interview,client,https://www.youtube.com/watch?v=hB-zchaxlNc
3,audio_client/9_client_audio_1.wav,0,neutral,interview,client,https://youtu.be/NAHJRdKY4dI
3,audio_client/9_client_audio_2.wav,1,neutral,interview,client,https://youtu.be/NAHJRdKY4dI
3,audio_client/9_client_audio_4.wav,2,neutral,interview,client,https://youtu.be/NAHJRdKY4dI
3,audio_client/9_client_audio_5.wav,3,neutral,interview,client,https://youtu.be/NAHJRdKY4dI
3,audio_client/9_client_audio_6.wav,4,neutral,interview,client,https://youtu.be/NAHJRdKY4dI
3,audio_client/9_client_audio_7.wav,5,neutral,interview,client,https://youtu.be/NAHJRdKY4dI
3,audio_client/9_client_audio_8.wav,6,neutral,interview,client,https://youtu.be/NAHJRdKY4dI
3,audio_client/9_client_audio_9.wav,7,neutral,interview,client,https://youtu.be/NAHJRdKY4dI
3,audio_client/9_client_audio_10.wav,8,neutral,interview,client,https://youtu.be/NAHJRdKY4dI
3,audio_client/9_client_audio_11.wav,9,neutral,interview,client,https://youtu.be/NAHJRdKY4dI
4,audio_client/10_client_audio_0.wav,0,neutral,interview,client,https://www.youtube.com/watch?v=N8rYXn0bOow&feature=youtu.be
4,audio_client/10_client_audio_1.wav,1,neutral,interview,client,https://www.youtube.com/watch?v=N8rYXn0bOow&feature=youtu.be
4,audio_client/10_client_audio_2.wav,2,neutral,interview,client,https://www.youtube.com/watch?v=N8rYXn0bOow&feature=youtu.be
4,audio_client/10_client_audio_3.wav,3,sad,interview,client,https://www.youtube.com/watch?v=N8rYXn0bOow&feature=youtu.be
4,audio_client/10_client_audio_4.wav,4,,interview,client,https://www.youtube.com/watch?v=N8rYXn0bOow&feature=youtu.be
5,audio_therapist/14_therapist_audio_0.wav,0,neutral,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_1.wav,1,neutral,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_2.wav,2,neutral,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_3.wav,3,neutral,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_5.wav,4,neutral,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_6.wav,5,neutral,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_7.wav,6,neutral,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_11.wav,7,neutral,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_15.wav,8,neutral,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_16.wav,9,happy,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_17.wav,10,happy,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
5,audio_therapist/14_therapist_audio_20.wav,11,neutral,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co
6,audio_therapist/16_therapist_audio_0.wav,0,sad,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_1.wav,1,neutral,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_2.wav,2,neutral,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_3.wav,3,neutral,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_4.wav,4,neutral,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_5.wav,5,,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_6.wav,6,sad,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_7.wav,7,neutral,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_8.wav,8,neutral,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_9.wav,9,sad,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_10.wav,10,sad,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
6,audio_therapist/16_therapist_audio_11.wav,11,neutral,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw
7,audio_therapist/18_therapist_audio_0.wav,0,neutral,interview,therapist,https://www.youtube.com/watch?v=PM1q6uB0ysQ
7,audio_therapist/18_therapist_audio_1.wav,1,neutral,interview,therapist,https://www.youtube.com/watch?v=PM1q6uB0ysQ
7,audio_therapist/18_therapist_audio_4.wav,2,neutral,interview,therapist,https://www.youtube.com/watch?v=PM1q6uB0ysQ
7,audio_therapist/18_therapist_audio_5.wav,3,neutral,interview,therapist,https://www.youtube.com/watch?v=PM1q6uB0ysQ
7,audio_therapist/18_therapist_audio_6.wav,4,,interview,therapist,https://www.youtube.com/watch?v=PM1q6uB0ysQ
7,audio_therapist/18_therapist_audio_8.wav,5,neutral,interview,therapist,https://www.youtube.com/watch?v=PM1q6uB0ysQ
